feature,importance
wavelength_793.2,10.914299964904785
wavelength_631.67,8.891579627990723
wavelength_992.76,5.981619834899902
wavelength_578.79,5.902979850769043
wavelength_995.02,4.903200149536133
wavelength_443.58,4.404809951782227
wavelength_817.25,3.2445199489593506
wavelength_464.16,3.0743000507354736
wavelength_826.02,2.703399896621704
wavelength_708.66,2.49180006980896
wavelength_513.9,2.0935099124908447
wavelength_950.11,1.612630009651184
wavelength_627.42,1.4185500144958496
wavelength_786.64,0.0
wavelength_801.93,0.0
wavelength_784.46,0.0
wavelength_788.82,0.0
wavelength_782.29,0.0
wavelength_780.11,0.0
wavelength_791.01,0.0
wavelength_777.94,0.0
wavelength_795.38,0.0
wavelength_797.56,0.0
wavelength_775.76,0.0
wavelength_799.74,0.0
wavelength_374.14,0.0
wavelength_804.12,0.0
wavelength_828.21,0.0
wavelength_841.4,0.0
wavelength_839.2,0.0
wavelength_837.0,0.0
wavelength_834.8,0.0
wavelength_832.6,0.0
wavelength_830.41,0.0
wavelength_823.82,0.0
wavelength_806.3,0.0
wavelength_821.63,0.0
wavelength_819.44,0.0
wavelength_815.06,0.0
wavelength_812.86,0.0
wavelength_810.68,0.0
wavelength_773.58,0.0
wavelength_808.49,0.0
wavelength_764.88,0.0
wavelength_771.4,0.0
wavelength_715.12,0.0
wavelength_728.06,0.0
wavelength_725.9,0.0
wavelength_723.74,0.0
wavelength_721.58,0.0
wavelength_719.43,0.0
wavelength_717.27,0.0
wavelength_712.96,0.0
wavelength_732.38,0.0
wavelength_710.81,0.0
wavelength_706.5,0.0
wavelength_704.36,0.0
wavelength_702.2,0.0
wavelength_700.06,0.0
wavelength_697.9,0.0
wavelength_730.22,0.0
wavelength_734.54,0.0
wavelength_769.23,0.0
wavelength_754.03,0.0
wavelength_767.06,0.0
wavelength_845.8,0.0
wavelength_762.71,0.0
wavelength_760.54,0.0
wavelength_758.37,0.0
wavelength_756.2,0.0
wavelength_751.86,0.0
wavelength_736.7,0.0
wavelength_749.7,0.0
wavelength_747.53,0.0
wavelength_745.36,0.0
wavelength_743.2,0.0
wavelength_741.03,0.0
wavelength_738.87,0.0
wavelength_843.6,0.0
wavelength_854.61,0.0
wavelength_848.0,0.0
wavelength_930.0,0.0
wavelength_968.03,0.0
wavelength_965.79,0.0
wavelength_963.55,0.0
wavelength_961.3,0.0
wavelength_959.06,0.0
wavelength_956.82,0.0
wavelength_954.58,0.0
wavelength_952.35,0.0
wavelength_947.87,0.0
wavelength_945.64,0.0
wavelength_943.4,0.0
wavelength_941.16,0.0
wavelength_938.93,0.0
wavelength_936.7,0.0
wavelength_934.46,0.0
wavelength_970.28,0.0
wavelength_972.52,0.0
wavelength_974.77,0.0
wavelength_999.52,0.0
wavelength_1013.06,0.0
wavelength_1010.8,0.0
wavelength_1008.54,0.0
wavelength_1006.29,0.0
wavelength_1004.03,0.0
wavelength_1001.78,0.0
wavelength_997.27,0.0
wavelength_977.02,0.0
wavelength_990.51,0.0
wavelength_988.26,0.0
wavelength_986.01,0.0
wavelength_983.76,0.0
wavelength_981.51,0.0
wavelength_979.26,0.0
wavelength_932.23,0.0
wavelength_927.77,0.0
wavelength_850.2,0.0
wavelength_925.54,0.0
wavelength_883.33,0.0
wavelength_881.12,0.0
wavelength_878.9,0.0
wavelength_876.69,0.0
wavelength_874.48,0.0
wavelength_872.27,0.0
wavelength_870.06,0.0
wavelength_867.85,0.0
wavelength_865.64,0.0
wavelength_863.43,0.0
wavelength_861.22,0.0
wavelength_859.02,0.0
wavelength_856.81,0.0
wavelength_693.6,0.0
wavelength_852.4,0.0
wavelength_885.54,0.0
wavelength_887.76,0.0
wavelength_889.97,0.0
wavelength_909.96,0.0
wavelength_923.32,0.0
wavelength_921.08,0.0
wavelength_918.86,0.0
wavelength_916.64,0.0
wavelength_914.4,0.0
wavelength_912.18,0.0
wavelength_907.73,0.0
wavelength_892.2,0.0
wavelength_905.52,0.0
wavelength_903.3,0.0
wavelength_901.06,0.0
wavelength_898.84,0.0
wavelength_896.63,0.0
wavelength_894.42,0.0
wavelength_695.76,0.0
wavelength_687.17,0.0
wavelength_691.46,0.0
wavelength_451.8,0.0
wavelength_486.9,0.0
wavelength_484.83,0.0
wavelength_482.76,0.0
wavelength_480.7,0.0
wavelength_478.62,0.0
wavelength_476.56,0.0
wavelength_474.49,0.0
wavelength_472.42,0.0
wavelength_470.36,0.0
wavelength_468.29,0.0
wavelength_466.22,0.0
wavelength_462.1,0.0
wavelength_460.04,0.0
wavelength_457.98,0.0
wavelength_455.92,0.0
wavelength_488.98,0.0
wavelength_491.05,0.0
wavelength_493.12,0.0
wavelength_511.82,0.0
wavelength_526.4,0.0
wavelength_524.31,0.0
wavelength_522.23,0.0
wavelength_520.14,0.0
wavelength_518.06,0.0
wavelength_515.98,0.0
wavelength_509.73,0.0
wavelength_495.2,0.0
wavelength_507.66,0.0
wavelength_505.58,0.0
wavelength_503.5,0.0
wavelength_501.42,0.0
wavelength_499.34,0.0
wavelength_497.27,0.0
wavelength_453.86,0.0
wavelength_449.74,0.0
wavelength_689.32,0.0
wavelength_447.68,0.0
wavelength_406.71,0.0
wavelength_404.67,0.0
wavelength_402.63,0.0
wavelength_400.59,0.0
wavelength_398.55,0.0
wavelength_396.51,0.0
wavelength_394.48,0.0
wavelength_392.44,0.0
wavelength_390.4,0.0
wavelength_388.37,0.0
wavelength_386.34,0.0
wavelength_384.3,0.0
wavelength_382.27,0.0
wavelength_380.24,0.0
wavelength_378.2,0.0
wavelength_408.75,0.0
wavelength_410.79,0.0
wavelength_412.84,0.0
wavelength_431.26,0.0
wavelength_445.63,0.0
wavelength_441.52,0.0
wavelength_439.46,0.0
wavelength_437.42,0.0
wavelength_435.36,0.0
wavelength_433.31,0.0
wavelength_429.21,0.0
wavelength_414.88,0.0
wavelength_427.16,0.0
wavelength_425.11,0.0
wavelength_423.06,0.0
wavelength_421.02,0.0
wavelength_418.97,0.0
wavelength_416.92,0.0
wavelength_528.48,0.0
wavelength_530.57,0.0
wavelength_532.66,0.0
wavelength_534.75,0.0
wavelength_648.69,0.0
wavelength_646.56,0.0
wavelength_644.43,0.0
wavelength_642.3,0.0
wavelength_640.17,0.0
wavelength_638.05,0.0
wavelength_635.92,0.0
wavelength_633.79,0.0
wavelength_629.54,0.0
wavelength_625.3,0.0
wavelength_623.17,0.0
wavelength_621.05,0.0
wavelength_618.93,0.0
wavelength_616.81,0.0
wavelength_614.69,0.0
wavelength_650.82,0.0
wavelength_652.95,0.0
wavelength_655.08,0.0
wavelength_674.32,0.0
wavelength_376.18,0.0
wavelength_685.02,0.0
wavelength_682.88,0.0
wavelength_680.74,0.0
wavelength_678.6,0.0
wavelength_676.46,0.0
wavelength_672.18,0.0
wavelength_657.22,0.0
wavelength_670.04,0.0
wavelength_667.9,0.0
wavelength_665.76,0.0
wavelength_663.62,0.0
wavelength_661.48,0.0
wavelength_659.36,0.0
wavelength_612.58,0.0
wavelength_610.46,0.0
wavelength_608.34,0.0
wavelength_551.48,0.0
wavelength_564.08,0.0
wavelength_561.98,0.0
wavelength_559.88,0.0
wavelength_557.78,0.0
wavelength_555.67,0.0
wavelength_553.58,0.0
wavelength_549.4,0.0
wavelength_568.28,0.0
wavelength_547.3,0.0
wavelength_545.2,0.0
wavelength_543.11,0.0
wavelength_541.02,0.0
wavelength_538.93,0.0
wavelength_536.84,0.0
wavelength_566.17,0.0
wavelength_570.38,0.0
wavelength_606.23,0.0
wavelength_591.43,0.0
wavelength_604.11,0.0
wavelength_602.0,0.0
wavelength_599.88,0.0
wavelength_597.77,0.0
wavelength_595.66,0.0
wavelength_593.55,0.0
wavelength_589.33,0.0
wavelength_572.48,0.0
wavelength_587.22,0.0
wavelength_585.11,0.0
wavelength_583.0,0.0
wavelength_580.9,0.0
wavelength_576.68,0.0
wavelength_574.58,0.0
wavelength_1015.32,0.0
